Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,MID_VA
5-July-2024,2940.65,2946.45,2914.05,2935.75,2932.139435864200000000,89482,12108,262373701.00,33917,37.90,32.40,-4.90,
4-July-2024,2942.45,2967.60,2922.10,2941.80,2944.835457164890000000,49282,5507,145127381.00,30490,61.87,45.50,-0.65,
3-July-2024,2929.00,2948.65,2915.80,2925.25,2936.548935642030000000,96678,8952,283899678.00,51020,52.77,32.85,-3.75,
2-July-2024,2930.05,2936.85,2911.55,2926.25,2925.226095852680000000,12707,1886,37170848.00,5097,40.11,25.30,-3.80,
1-July-2024,2910.00,2938.65,2890.00,2927.15,2920.791371617030000000,82472,7736,240883506.00,50960,61.79,48.65,17.15,
28-June-2024,2880.00,2931.35,2865.60,2917.30,2915.712366269780000000,130767,15717,381278959.00,74844,57.23,65.75,37.30,
27-June-2024,2860.00,2902.00,2845.00,2882.15,2871.650827297890000000,67932,9934,195076984.00,31787,46.79,57.00,22.15,
26-June-2024,2862.00,2873.60,2845.00,2864.80,2862.866250000000000000,79200,7659,226739007.00,48775,61.58,28.60,2.80,
25-June-2024,2888.00,2892.35,2855.90,2858.55,2873.992518192070000000,29271,3576,84124635.00,16435,56.15,36.45,-29.45,
24-June-2024,2889.95,2900.00,2872.70,2895.90,2886.361145194270000000,19560,2034,56457224.00,8883,45.41,27.30,5.95,
21-June-2024,2920.35,2926.15,2881.00,2890.40,2895.216541845850000000,116033,14340,335940661.00,51139,44.07,45.15,-29.95,
20-June-2024,2892.60,2923.25,2875.05,2915.10,2902.925076052470000000,61142,7100,177490645.00,28081,45.93,48.20,22.50,
19-June-2024,2920.00,2921.45,2883.25,2892.65,2898.038313284420000000,107404,6501,311260907.00,94931,88.39,38.20,-27.35,
18-June-2024,2920.20,2930.00,2905.65,2917.80,2915.783464131760000000,18094,1857,52758186.00,10638,58.79,24.35,-2.40,
14-June-2024,2910.00,2931.00,2905.00,2920.20,2920.604179936310000000,50240,3148,146731154.00,34125,67.92,26.00,10.20,
13-June-2024,2925.00,2925.00,2903.50,2907.90,2915.139498595650000000,28839,2566,84069708.00,17236,59.77,21.50,-17.10,
12-June-2024,2904.15,2916.85,2866.15,2905.25,2887.017500180410000000,27714,2992,80010803.00,8729,31.50,50.70,1.10,
11-June-2024,2919.95,2920.85,2895.05,2902.25,2908.683975197200000000,23707,2601,68956171.00,11936,50.35,25.80,-17.70,
10-June-2024,2934.95,2950.00,2915.00,2936.90,2934.109458580020000000,63001,6663,184851830.00,31671,50.27,35.00,1.95,
7-June-2024,2915.45,2942.45,2888.60,2928.70,2924.907756311730000000,108647,14038,317782453.00,37668,34.67,53.85,13.25,
6-June-2024,2965.00,2965.00,2882.60,2904.85,2920.064336749540000000,30931,3554,90320510.00,11444,37.00,82.40,-60.15,
5-June-2024,2869.95,3025.00,2865.00,2960.40,2975.971835671470000000,318630,30438,948233906.00,196288,61.60,160.00,90.45,
4-June-2024,2888.45,2896.00,2778.10,2858.50,2853.331673598500000000,68284,7017,194836900.00,32760,47.98,117.90,-29.95,
3-June-2024,2935.40,2950.00,2860.10,2865.80,2886.765268708310000000,28637,3349,82668297.00,12915,45.10,89.90,-69.60,
31-May-2024,2882.00,2904.75,2856.20,2877.70,2883.068093887030000000,54278,8855,156487170.00,13942,25.69,48.55,-4.30,
30-May-2024,2895.00,2910.00,2875.35,2881.90,2891.872899625900000000,31542,3620,91215455.00,16487,52.27,34.65,-13.10,
29-May-2024,2895.70,2920.00,2883.00,2899.60,2903.234001522460000000,19705,2191,57208226.00,6693,33.97,37.00,3.90,
28-May-2024,2875.00,2919.80,2862.55,2910.45,2894.673879294650000000,93401,8774,270365435.00,55333,59.24,57.25,35.45,
27-May-2024,2878.95,2896.85,2856.20,2873.20,2876.861330693820000000,73751,8168,212171400.00,43255,58.65,40.65,-5.75,
24-May-2024,2904.25,2909.00,2867.00,2875.25,2881.213347396680000000,31287,4457,90144522.00,10361,33.12,42.00,-29.00,
23-May-2024,2886.00,2920.00,2878.00,2902.45,2897.958855705750000000,79525,10487,230460178.00,45717,57.49,42.00,16.45,
22-May-2024,2854.00,2894.00,2850.00,2886.20,2878.406595357510000000,22531,2075,64853379.00,11204,49.73,44.00,32.20,
21-May-2024,2817.00,2865.00,2800.00,2850.25,2846.600025941460000000,69387,7858,197517036.00,44517,64.16,65.00,33.25,
18-May-2024,2809.75,2829.15,2809.75,2816.55,2819.127761511840000000,3757,504,10591463.00,1695,45.12,19.40,6.80,
17-May-2024,2819.75,2836.95,2787.00,2809.70,2808.506408718600000000,58358,9296,163898817.00,22540,38.62,49.95,-10.05,
16-May-2024,2828.40,2828.40,2786.00,2814.25,2799.632056344040000000,74968,6239,209882816.00,50986,68.01,42.40,-14.15,
15-May-2024,2866.00,2874.05,2805.95,2812.95,2837.920529980400000000,73965,5458,209906792.00,58289,78.81,68.10,-53.05,
14-May-2024,2880.00,2887.20,2841.55,2865.60,2867.135777797090000000,34527,2694,98993597.00,15813,45.80,45.65,-14.40,
13-May-2024,2772.80,2894.20,2753.50,2878.90,2846.239414509510000000,184734,17017,525797192.00,86018,46.56,140.70,106.10,
10-May-2024,2702.75,2792.00,2671.00,2772.80,2753.198579217690000000,214952,21853,591805541.00,76683,35.67,121.00,70.05,
9-May-2024,2865.00,2865.00,2705.00,2711.00,2759.483721284320000000,275851,39792,761206344.00,142798,51.77,160.00,-154.00,
8-May-2024,2890.15,2906.40,2821.30,2844.25,2843.196860832250000000,98816,26029,280953341.00,47997,48.57,85.10,-45.90,
7-May-2024,2935.55,2967.00,2904.55,2911.55,2934.490750495130000000,71193,7523,208915200.00,37241,52.31,62.45,-24.00,
6-May-2024,2938.05,2958.35,2913.00,2932.20,2934.534131736530000000,35070,3265,102914112.00,8201,23.38,45.35,-5.85,
3-May-2024,2998.00,2998.00,2910.05,2927.50,2949.465716305370000000,76392,9481,225315585.00,27359,35.81,87.95,-70.50,
2-May-2024,2877.90,2987.00,2877.05,2973.80,2947.812783702080000000,203118,28344,598753837.00,136673,67.29,109.95,95.90,
30-April-2024,2850.50,2910.95,2850.50,2877.05,2892.670730240210000000,24937,2973,72134530.00,11877,47.63,60.45,26.55,
29-April-2024,2840.00,2873.80,2837.15,2868.10,2864.671971955080000000,53343,6253,152810197.00,33161,62.17,36.65,28.10,
26-April-2024,2855.45,2877.15,2837.00,2844.60,2857.293962754990000000,63042,9580,180129526.00,27041,42.89,40.15,-10.85,
25-April-2024,2860.35,2868.85,2829.65,2861.55,2843.917505939280000000,68611,5761,195124024.00,55138,80.36,39.20,1.20,
24-April-2024,2885.95,2885.95,2859.80,2867.30,2868.985674383170000000,47258,3474,135582525.00,33325,70.52,26.15,-18.65,
23-April-2024,2846.50,2876.00,2843.45,2874.35,2864.200976505450000000,47926,6027,137269696.00,32887,68.62,32.55,27.85,
22-April-2024,2849.55,2849.55,2816.00,2841.90,2832.807506053270000000,18172,2152,51477778.00,7527,41.42,33.55,-7.65,
19-April-2024,2791.00,2822.00,2766.05,2808.45,2788.224035498810000000,108398,18297,302237909.00,47047,43.40,55.95,17.45,
18-April-2024,2845.65,2858.00,2801.10,2814.75,2825.617178000600000000,113494,12175,320690596.00,65395,57.62,56.90,-30.90,
16-April-2024,2838.15,2840.40,2819.30,2830.55,2828.950444306260000000,99706,7325,282063333.00,79518,79.75,21.10,-7.60,
15-April-2024,2798.00,2852.60,2798.00,2843.55,2834.121513439810000000,102680,11724,291007597.00,58286,56.76,54.60,45.55,
12-April-2024,2895.40,2895.40,2845.00,2855.65,2858.325239310040000000,85454,9575,244255325.00,39358,46.06,50.40,-39.75,
10-April-2024,2886.00,2899.00,2857.55,2896.10,2881.886356272990000000,52471,6399,151215459.00,29419,56.07,41.45,10.10,
